Espécie	Nome Popular	Guilda	Habitat	Descrição	Na Tabela
Hemitriccus orbitatus	tiririzinho-do-mato	Insetívoro	Florestal	Insetos no sub-bosque	✓
Herpetotheres cachinnans	acauã	Carnívoro	Florestal	Cobras, especialmente serpentes peçonhentas	✓
Herpsilochmus rufimarginatus	chorozinho-de-asa-vermelha	Insetívoro	Florestal	Insetos no dossel	✓
Heteronetta atricapilla	marreca-de-cabeça-preta	Onívoro	Aquático	Invertebrados, plantas aquáticas	✓
Heterospizias meridionalis	gavião-caboclo	Carnívoro	Campestre	Cobras, lagartos, roedores	✓
Heteroxolmis dominicanus	noivinha-de-rabo-preto	Insetívoro	Campestre	Insetos em campos	✓
Hieraspiza superciliosa	tauató-passarinho	Carnívoro	Florestal	Pequenas aves	✓
Himantopus melanurus	pernilongo-de-costas-brancas	Insetívoro	Aquático	Invertebrados aquáticos, insetos	✓
Hirundinea ferruginea	gibão-de-couro	Insetívoro aéreo	Florestal	Insetos capturados em voo, poleiros rochosos	✓
Hirundo rustica	andorinha-de-bando	Insetívoro aéreo	Generalista	Insetos capturados em voo	✓
Hydropsalis anomala	curiango-do-banhado	Insetívoro aéreo	Aquático	Insetos em voo noturno	✓
Hydropsalis forcipata	bacurau-tesourão	Insetívoro aéreo	Florestal	Insetos em voo noturno	✓
Hydropsalis longirostris	bacurau-da-telha	Insetívoro aéreo	Generalista	Insetos em voo noturno	✓
Hydropsalis parvula	bacurau-chintã	Insetívoro aéreo	Generalista	Insetos em voo noturno	✓
Hydropsalis torquata	bacurau-tesoura	Insetívoro aéreo	Generalista	Insetos em voo noturno	✓
Hylocharis chrysura	beija-flor-dourado	Nectarívoro	Florestal	Néctar floral e pequenos insetos	✓
Hylophilus poicilotis	verdinho-coroado	Insetívoro	Florestal	Insetos no dossel	✓
Hymenops perspicillatus	viuvinha-de-óculos	Insetívoro	Aquático	Insetos em banhados	✓
Hypoedaleus guttatus	chocão-carijó	Insetívoro	Florestal	Insetos no interior florestal	✓
Icterus galbula	corrupião-de-baltimore	Insetívoro/Nectarívoro	Florestal	Insetos, néctar, frutos	✓
Icterus pyrrhopterus	encontro	Insetívoro/Nectarívoro	Florestal	Insetos, néctar e frutos	✓
Ictinia plumbea	sovi	Insetívoro aéreo	Florestal	Insetos capturados em voo	✓
Ilicura militaris	tangarazinho	Frugívoro/Insetívoro	Florestal	Frutos pequenos e insetos	✓
Ixobrychus exilis	socoí-vermelho	Insetívoro/Piscívoro	Aquático	Insetos, pequenos peixes, anfíbios	✓
Ixobrychus involucris	socoí-amarelo	Insetívoro/Piscívoro	Aquático	Insetos, pequenos peixes, anfíbios	✓
Jabiru mycteria	tuiuiú	Carnívoro/Piscívoro	Aquático	Peixes, anfíbios, moluscos, cobras	✓
Jacana jacana	jaçanã	Insetívoro	Aquático	Insetos, invertebrados aquáticos	✓
Knipolegus cyanirostris	maria-preta-de-bico-azulado	Insetívoro	Florestal	Insetos no sub-bosque	✓
Knipolegus lophotes	maria-preta-de-penacho	Insetívoro	Campestre	Insetos em arbustos	✓
Knipolegus nigerrimus	maria-preta-de-garganta-vermelha	Insetívoro	Florestal	Insetos em borda de floresta	✓
Larus atlanticus	gaivota-de-rabo-preto	Piscívoro/Onívoro	Costeiro	Peixes, invertebrados marinhos	✓
Larus dominicanus	gaivotão	Onívoro	Costeiro	Peixes, invertebrados, ovos, carniça	✓
Laterallus exilis	sanã-do-capim	Insetívoro	Aquático	Insetos e pequenos invertebrados	✓
Laterallus flaviventer	sanã-amarela	Insetívoro	Aquático	Insetos e invertebrados aquáticos	✓
Laterallus leucopyrrhus	sanã-vermelha	Insetívoro	Aquático	Insetos e invertebrados	✓
Laterallus melanophaius	sanã-parda	Insetívoro	Aquático	Insetos e invertebrados	✓
Laterallus spilopterus	sanã-cinza	Insetívoro	Aquático	Insetos e invertebrados aquáticos	✓
Lathrotriccus euleri	enferrujado	Insetívoro	Florestal	Insetos no sub-bosque	✓
Legatus leucophaius	bem-te-vi-pirata	Insetívoro/Frugívoro	Florestal	Frutos e insetos, cleptoparasita	✓
Leistes superciliaris	polícia-inglesa-do-sul	Insetívoro/Granívoro	Campestre	Insetos e sementes	✓
Lepidocolaptes angustirostris	arapaçu-de-cerrado	Insetívoro	Florestal	Insetos em cascas de árvores	✓
Lepidocolaptes falcinellus	arapaçu-escamoso-do-sul	Insetívoro	Florestal	Insetos em cascas no sub-bosque	✓
Leptasthenura setaria	grimpeiro	Insetívoro	Florestal	Insetos em araucárias	✓
Leptasthenura striolata	grimpeirinho	Insetívoro	Florestal	Insetos em araucárias	✓
Leptodon cayanensis	gavião-gato	Carnívoro	Florestal	Ovos e filhotes de aves, lagartos	✓
Leptopogon amaurocephalus	cabeçudo	Insetívoro	Florestal	Insetos no sub-bosque	✓
Leptotila rufaxilla	juriti-de-testa-branca	Granívoro/Frugívoro	Florestal	Sementes e frutos no chão	✓
Leptotila verreauxi	juriti-pupu	Granívoro/Frugívoro	Florestal	Sementes e frutos caídos	✓
Lessonia rufa	colegial	Insetívoro	Aquático	Insetos em beiras de rios	✓
Leucochloris albicollis	beija-flor-de-papo-branco	Nectarívoro	Florestal	Néctar floral e pequenos insetos	✓
Leucophaeus atricilla	gaivota-alegre	Onívoro	Costeiro	Peixes, invertebrados, restos	✓
Leucophaeus modestus	gaivota-cinzenta	Onívoro	Costeiro	Invertebrados, restos orgânicos	✓
Leucophaeus pipixcan	gaivota-de-franklin	Insetívoro/Onívoro	Campestre	Insetos em campo, restos orgânicos	✓
Limnoctites rectirostris	arredio-do-gravatá	Insetívoro	Aquático	Insetos em gravatás	✓
Limnodromus griseus	maçarico-de-costas-brancas	Insetívoro	Aquático	Invertebrados aquáticos	✓
Limnornis curvirostris	joão-da-palha	Insetívoro	Aquático	Insetos em juncais	✓
Limosa haemastica	maçarico-de-bico-virado	Insetívoro	Costeiro	Invertebrados aquáticos	✓
Lipaugus lanioides	tropeiro-da-serra	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Lochmias nematura	joão-porca	Insetívoro	Aquático	Insetos e invertebrados em riachos	✓
Lophornis chalybeus	topetinho-verde	Nectarívoro	Florestal	Néctar floral e artrópodes	✓
Lophornis magnificus	topetinho-vermelho	Nectarívoro	Florestal	Néctar floral e pequenos artrópodes	✓
Loriotus cristatus	tiê-galo	Insetívoro	Florestal	Insetos no sub-bosque	✓
Lurocalis semitorquatus	tuju	Insetívoro aéreo	Florestal	Insetos capturados em voo	✓
Machetornis rixosa	suiriri-cavaleiro	Insetívoro	Campestre	Insetos, segue gado e aves grandes	✓
Mackenziaena leachii	borralhara-assobiadora	Insetívoro	Florestal	Insetos no bambu e sub-bosque	✓
Mackenziaena severa	borralhara	Insetívoro	Florestal	Insetos no bambu	✓
Macronectes giganteus	petrel-grande	Detritívoro/Piscívoro	Costeiro	Carniça de aves marinhas e mamíferos	✓
Macronectes halli	petrel-grande-do-norte	Detritívoro/Piscívoro	Costeiro	Carniça e peixes	✓
Malacoptila striata	barbudo-rajado	Insetívoro	Florestal	Insetos grandes, lagartos, artrópodes	✓
Manacus manacus	rendeira	Frugívoro/Insetívoro	Florestal	Frutos pequenos e insetos	✓
Mareca sibilatrix	marreca-oveira	Herbívoro	Aquático	Gramíneas e plantas aquáticas	✓
Megaceryle torquata	martim-pescador-grande	Piscívoro	Aquático	Peixes capturados em mergulho	✓
Megarynchus pitangua	neinei	Insetívoro/Frugívoro	Florestal	Insetos, frutos e anfíbios	✓
Megascops atricapilla	corujinha-sapo	Insetívoro/Carnívoro	Florestal	Insetos e lagartos	✓
Megascops choliba	corujinha-do-mato	Insetívoro/Carnívoro	Florestal	Insetos, lagartos, aves pequenas	✓
Megascops sanctaecatarinae	corujinha-do-sul	Insetívoro/Carnívoro	Florestal	Insetos e pequenos vertebrados	✓
Melanerpes candidus	pica-pau-branco	Onívoro	Florestal	Insetos, frutos, néctar, mel	✓
Melanerpes flavifrons	benedito-de-testa-amarela	Insetívoro/Frugívoro	Florestal	Insetos, frutos e mel	✓
Merulaxis ater	entufado	Insetívoro	Florestal	Insetos na serapilheira	✓
Mesembrinibis cayennensis	coró-coró	Insetívoro	Aquático	Insetos, moluscos, anfíbios	✓
Micrastur ruficollis	falcão-caburé	Carnívoro	Florestal	Aves pequenas e lagartos	✓
Micrastur semitorquatus	falcão-relógio	Carnívoro	Florestal	Aves de médio porte em clareiras	✓
Micrococcyx cinereus	papa-lagarta-cinzento	Insetívoro	Florestal	Insetos e lagartas	✓
Microspingus cabanisi	quete-do-sul	Insetívoro	Campestre	Insetos em arbustais	✓
Milvago chimachima	carrapateiro	Insetívoro/Onívoro	Generalista	Insetos, carrapatos, parasitas	✓
Milvago chimango	chimango	Onívoro	Generalista	Carniça, insetos, frutos, ovos	✓
Mimus saturninus	sabiá-do-campo	Onívoro	Campestre	Insetos, frutos, pequenos vertebrados	✓
Mimus triurus	calhandra-de-três-rabos	Onívoro	Campestre	Insetos, frutos, lagartos	✓
Mionectes rufiventris	abre-asa-de-cabeça-cinza	Frugívoro/Insetívoro	Florestal	Frutos e insetos no sub-bosque	✓
Molothrus bonariensis	chupim	Granívoro/Insetívoro	Generalista	Sementes e insetos, parasita	✓
Molothrus oryzivorus	iraúna-grande	Granívoro/Insetívoro	Generalista	Grãos e insetos, parasita	✓
Molothrus rufoaxillaris	chupim-azeviche	Granívoro/Insetívoro	Campestre	Sementes e insetos, parasita	✓
Morus serrator	atobá-australiano	Piscívoro	Costeiro	Peixes capturados por mergulho em picada	✓
Muscipipra vetula	tesoura-cinzenta	Insetívoro aéreo	Florestal	Insetos capturados em voo	✓
Mustelirallus albicollis	sanã-carijó	Insetívoro	Aquático	Insetos e invertebrados do solo	✓
Mycteria americana	cabeça-seca	Piscívoro	Aquático	Peixes capturados por tato	✓
Myiarchus ferox	maria-cavaleira	Insetívoro/Frugívoro	Generalista	Insetos e frutos	✓
Myiarchus swainsoni	irré	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Myiobius atricaudus	assanhadinho-de-cauda-preta	Insetívoro	Florestal	Insetos capturados em voo	✓
Myiobius barbatus	assanhadinho	Insetívoro	Florestal	Insetos capturados em voo	✓
Myiodynastes maculatus	bem-te-vi-rajado	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Myiopagis caniceps	guaracava-cinzenta	Insetívoro	Florestal	Insetos no dossel	✓
Myiopagis viridicata	guaracava-de-crista-alaranjada	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Myiophobus fasciatus	filipe	Insetívoro	Florestal	Insetos no sub-bosque	✓
Myiopsitta monachus	caturrita	Granívoro/Frugívoro	Generalista	Sementes, grãos, frutos	✓
Myiornis auricularis	miudinho	Insetívoro	Florestal	Insetos no sub-bosque	✓
Myiothlypis leucoblephara	pula-pula-assobiador	Insetívoro	Florestal	Insetos no sub-bosque e solo	✓
Myiothlypis rivularis	pula-pula-ribeirinho	Insetívoro	Aquático	Insetos em beiras de riachos	✓
Myiozetetes similis	bentevizinho-de-penacho-vermelho	Insetívoro/Frugívoro	Generalista	Insetos e frutos	✓
Myrmoderus squamosus	papa-formiga-de-grota	Insetívoro	Florestal	Insetos e formigas no solo	✓
Myrmotherula unicolor	choquinha-cinzenta	Insetívoro	Florestal	Insetos e aranhas no sub-bosque	✓
Nannopterum brasilianum	biguá	Piscívoro	Aquático	Peixes capturados por perseguição	✓
Nemosia pileata	saíra-de-chapéu-preto	Insetívoro	Florestal	Insetos no dossel	✓
Nengetus cinereus	primavera	Insetívoro	Campestre	Insetos em campos	✓
Neocrex erythrops	turu-turu	Insetívoro	Aquático	Insetos e pequenos invertebrados	✓
Netta erythrophthalma	paturi-preta	Onívoro	Aquático	Plantas aquáticas e invertebrados	✓
Netta peposaca	marrecão	Herbívoro/Filtrador	Aquático	Plantas aquáticas, sementes	✓
Nomonyx dominicus	marreca-caucau	Onívoro	Aquático	Invertebrados e plantas aquáticas	✓
Nonnula rubecula	macuru	Insetívoro	Florestal	Insetos e aranhas	✓
Notharchus swainsoni	macuru-de-barriga-castanha	Insetívoro	Florestal	Insetos grandes, lagartos, anfíbios	✓
Nothura maculosa	codorna-amarela	Granívoro/Insetívoro	Campestre	Sementes e insetos	✓
Numenius hudsonicus	maçarico-de-bico-torto	Insetívoro	Costeiro	Invertebrados marinhos, crustáceos	✓
Nyctanassa violacea	savacu-de-coroa	Onívoro	Aquático	Crustáceos, peixes, invertebrados	✓
Nyctibius griseus	urutau	Insetívoro aéreo	Florestal	Insetos capturados em voo à noite	✓
Nycticorax nycticorax	socó-dorminhoco	Piscívoro/Carnívoro	Aquático	Peixes, anfíbios, invertebrados	✓
Nycticryphes semicollaris	narceja-de-bico-torto	Insetívoro	Aquático	Invertebrados do solo úmido	✓
Nyctidromus albicollis	bacurau	Insetívoro aéreo	Florestal	Insetos em voo noturno	✓
Nystalus chacuru	joão-bobo	Insetívoro/Carnívoro	Campestre	Insetos grandes, lagartos, serpentes	✓
Oceanites oceanicus	alma-de-mestre	Piscívoro	Costeiro	Zooplâncton, peixinhos, invertebrados marinhos	✓
Odontophorus capueira	uru	Granívoro/Insetívoro	Florestal	Sementes, frutos caídos, invertebrados	✓
Onychorhynchus swainsoni	maria-leque-do-sudeste	Insetívoro	Florestal	Insetos grandes, aranhas	✓
Orchesticus abeillei	sanhaço-pardo	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Oreopholus ruficollis	batuíra-de-papo-ferrugíneo	Insetívoro	Campestre	Insetos e invertebrados do solo	✓
Ortalis squamata	aracuã-escamoso	Frugívoro/Onívoro	Florestal	Frutos, sementes, invertebrados	✓
Orthogonys chloricterus	catirumbava	Frugívoro/Insetívoro	Florestal	Frutos e insetos no dossel	✓
Oxyruncus cristatus	araponga-do-horto	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Oxyura vittata	marreca-rabo-de-espinho	Insetívoro/Filtrador	Aquático	Invertebrados aquáticos e sementes	✓
Pachyramphus castaneus	caneleiro	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Pachyramphus marginatus	caneleiro-bordado	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Pachyramphus polychopterus	caneleiro-preto	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Pachyramphus validus	caneleiro-de-chapéu-preto	Insetívoro/Frugívoro	Florestal	Insetos e frutos no dossel	✓
Pachyramphus viridis	caneleiro-verde	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Pandion haliaetus	águia-pescadora	Piscívoro	Aquático	Peixes capturados com as garras	✓
Panyptila cayennensis	andorinhão-estofador	Insetívoro aéreo	Florestal	Insetos capturados em voo	✓
Parabuteo leucorrhous	gavião-de-sobre-branco	Carnívoro	Florestal	Aves e pequenos mamíferos	✓
Parabuteo unicinctus	gavião-asa-de-telha	Carnívoro	Campestre	Aves, mamíferos, lagartos	✓
Pardirallus maculatus	saracura-carijó	Onívoro	Aquático	Insetos, pequenos vertebrados, plantas	✓
Pardirallus nigricans	saracura-sanã	Onívoro	Aquático	Insetos, sementes, plantas aquáticas	✓
Pardirallus sanguinolentus	saracura-do-banhado	Onívoro	Aquático	Invertebrados, sementes, pequenos vertebrados	✓
Paroaria coronata	cardeal	Granívoro/Insetívoro	Campestre	Sementes e insetos	✓
Passer domesticus	pardal	Granívoro/Insetívoro	Generalista	Sementes, grãos, insetos	✓
Patagioenas cayennensis	pomba-galega	Granívoro/Frugívoro	Florestal	Frutos e sementes	✓
Patagioenas picazuro	pomba-asa-branca	Granívoro/Frugívoro	Florestal	Sementes, grãos e frutos	✓
Patagioenas plumbea	pomba-amargosa	Frugívoro	Florestal	Frutos de árvores florestais	✓
Penelope obscura	jacuguaçu	Frugívoro/Onívoro	Florestal	Frutos, sementes, flores, invertebrados	✓
Penelope superciliaris	jacupemba	Frugívoro/Onívoro	Florestal	Frutos, folhas, flores, invertebrados	✓
Petrochelidon pyrrhonota	andorinha-de-dorso-acanelado	Insetívoro aéreo	Generalista	Insetos capturados em voo	✓
Phacellodomus ferrugineigula	joão-botina-do-brejo	Insetívoro	Aquático	Insetos em brejeiros	✓
Phacellodomus striaticollis	tio-tio	Insetívoro	Campestre	Insetos em gramíneas	✓
Phaethornis eurynome	rabo-branco-de-garganta-rajada	Nectarívoro	Florestal	Néctar floral e artrópodes	✓
Phaethornis pretrei	rabo-branco-acanelado	Nectarívoro	Florestal	Néctar floral e pequenos insetos	✓
Phaethornis squalidus	rabo-branco-pequeno	Nectarívoro	Florestal	Néctar de flores heliconiáceas e aranhas	✓
Phaetusa simplex	trinta-réis-grande	Piscívoro	Aquático	Peixes	✓
Phalaropus fulicarius	pisa-n'água-de-bico-grosso	Insetívoro	Aquático	Invertebrados aquáticos	✓
Phalaropus tricolor	pisa-n'água	Insetívoro	Aquático	Invertebrados aquáticos	✓
Phibalura flavirostris	tesourinha-da-mata	Frugívoro/Insetívoro	Florestal	Frutos e insetos no dossel	✓
Philydor atricapillus	limpa-folha-coroado	Insetívoro	Florestal	Insetos em folhas mortas e bambu	✓
Phimosus infuscatus	tapicuru	Insetívoro	Aquático	Invertebrados do solo úmido	✓
Phleocryptes melanops	bate-bico	Insetívoro	Aquático	Insetos aquáticos em juncos	✓
Phoenicoparrus andinus	flamingo-dos-andes	Filtrador	Aquático	Algas, diatomáceas e invertebrados por filtração	✓
Phyllomyias fasciatus	piolhinho	Insetívoro	Florestal	Insetos no sub-bosque e borda	✓
Phyllomyias griseocapilla	piolhinho-serrano	Insetívoro	Florestal	Insetos no dossel florestal	✓
Phyllomyias virescens	piolhinho-verdoso	Insetívoro	Florestal	Insetos no dossel	✓
Phylloscartes difficilis	estalinho	Insetívoro	Florestal	Insetos em bambu	✓
Phylloscartes eximius	barbudinho	Insetívoro	Florestal	Insetos no sub-bosque	✓
Phylloscartes kronei	maria-da-restinga	Insetívoro	Costeiro	Insetos na restinga	✓
Phylloscartes oustaleti	papa-moscas-de-olheiras	Insetívoro	Florestal	Insetos no dossel	✓
Phylloscartes sylviolus	maria-pequena	Insetívoro	Florestal	Insetos no sub-bosque	✓
Phylloscartes ventralis	borboletinha-do-mato	Insetívoro	Florestal	Insetos no sub-bosque	✓
Piaya cayana	alma-de-gato	Insetívoro	Florestal	Lagartas, gafanhotos, insetos grandes	✓
Piculus aurulentus	pica-pau-dourado	Insetívoro	Florestal	Formigas, cupins, larvas	✓
Piculus flavigula	pica-pau-bufador	Insetívoro	Florestal	Insetos e larvas em madeira	✓
Picumnus nebulosus	picapauzinho-carijó	Insetívoro	Florestal	Insetos e larvas em madeira	✓
Picumnus temminckii	picapauzinho-de-coleira	Insetívoro	Florestal	Insetos em galhos finos	✓
Pilherodius pileatus	garça-real	Piscívoro	Aquático	Peixes e anfíbios	✓
Pionopsitta pileata	cuiú-cuiú	Frugívoro/Granívoro	Florestal	Frutos, sementes, néctar	✓
Pionus maximiliani	maitaca-verde	Frugívoro/Granívoro	Florestal	Frutos, sementes, flores	✓
Pipraeidea melanonota	saíra-viúva	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Piprites chloris	papinho-amarelo	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Piprites pileata	caneleirinho-de-chapéu-preto	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Piranga flava	sanhaço-de-fogo	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Pitangus sulphuratus	bem-te-vi	Onívoro	Generalista	Insetos, frutos, anfíbios, peixes, lagartos	✓
Platalea ajaja	colhereiro	Filtrador/Piscívoro	Aquático	Peixes e invertebrados filtrados	✓
Platyrinchus leucoryphus	patinho-de-asa-castanha	Insetívoro	Florestal	Insetos no chão do sub-bosque	✓
Platyrinchus mystaceus	patinho	Insetívoro	Florestal	Insetos no sub-bosque	✓
Plegadis chihi	caraúna	Insetívoro	Aquático	Insetos, caramujos, crustáceos	✓
Pluvialis dominica	batuiruçu	Insetívoro	Campestre	Insetos, minhocas, invertebrados	✓
Pluvialis squatarola	batuiruçu-de-axila-preta	Insetívoro	Costeiro	Invertebrados marinhos	✓
Podager nacunda	corucão	Insetívoro aéreo	Campestre	Insetos capturados em voo	✓
Podicephorus major	mergulhão-grande	Piscívoro	Aquático	Peixes e invertebrados aquáticos	✓
Podilymbus podiceps	mergulhão-caçador	Piscívoro	Aquático	Peixes, crustáceos, invertebrados	✓
Poecilotriccus plumbeiceps	tororó	Insetívoro	Florestal	Insetos no sub-bosque	✓
Polioptila dumicola	balança-rabo-de-máscara	Insetívoro	Florestal	Insetos e aranhas	✓
Polioptila lactea	balança-rabo-leitoso	Insetívoro	Florestal	Insetos e aranhas	✓
Polystictus pectoralis	papa-moscas-canela	Insetívoro	Campestre	Insetos em campos úmidos	✓
Poospiza nigrorufa	quem-te-vestiu	Granívoro/Insetívoro	Campestre	Sementes e insetos	✓
Porphyrio flavirostris	frango-d'água-pequeno	Onívoro	Aquático	Plantas aquáticas, sementes, invertebrados	✓
Porphyrio martinica	frango-d'água-azul	Onívoro	Aquático	Plantas aquáticas, sementes, invertebrados	✓
Porphyriops melanops	galinha-d'água-carijó	Onívoro	Aquático	Plantas aquáticas, invertebrados	✓
Primolius maracana	maracanã	Frugívoro/Granívoro	Florestal	Frutos e sementes	✓
Procellaria aequinoctialis	pardela-preta	Piscívoro	Costeiro	Lulas, peixes e crustáceos	✓
Procellaria conspicillata	pardela-de-óculos	Piscívoro	Costeiro	Lulas e peixes	✓
Procnias nudicollis	araponga	Frugívoro	Florestal	Frutos de Lauráceas	✓
Progne chalybea	andorinha-grande	Insetívoro aéreo	Generalista	Insetos capturados em voo	✓
Progne elegans	andorinha-do-sul	Insetívoro aéreo	Generalista	Insetos capturados em voo	✓
Progne subis	andorinha-azul	Insetívoro aéreo	Generalista	Insetos capturados em voo	✓
Progne tapera	andorinha-do-campo	Insetívoro aéreo	Campestre	Insetos capturados em voo	✓
Pseudastur polionotus	gavião-pombo-grande	Carnívoro	Florestal	Aves, lagartos, pequenos mamíferos	✓
Pseudocolopteryx acutipennis	tricolino-oliváceo	Insetívoro	Aquático	Insetos em brejeiros	✓
Pseudocolopteryx flaviventris	amarelinho-do-junco	Insetívoro	Aquático	Insetos em juncos	✓
Pseudocolopteryx sclateri	tricolino	Insetívoro	Aquático	Insetos em banhados	✓
Pseudoleistes guirahuro	chupim-do-brejo	Insetívoro/Granívoro	Aquático	Insetos e sementes em banhados	✓
Pseudoleistes virescens	dragão	Insetívoro/Granívoro	Aquático	Insetos e sementes	✓
Psilorhamphus guttatus	tapaculo-pintado	Insetívoro	Florestal	Insetos no sub-bosque	✓
Psittacara leucophthalmus	periquitão	Frugívoro/Granívoro	Florestal	Frutos, sementes, flores	✓
Pterodroma incerta	grazina-de-barriga-branca	Piscívoro	Costeiro	Lulas e peixes	✓
Pterodroma mollis	grazina-delicada	Piscívoro	Costeiro	Lulas e peixes	✓
Pteroglossus bailloni	araçari-banana	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Pteroglossus castanotis	araçari-castanho	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Puffinus puffinus	pardela-sombria	Piscívoro	Costeiro	Peixes e invertebrados marinhos	✓
Pulsatrix koeniswaldiana	murucututu-de-barriga-amarela	Carnívoro	Florestal	Aves, roedores, anfíbios	✓
Pygochelidon cyanoleuca	andorinha-pequena-de-casa	Insetívoro aéreo	Generalista	Insetos capturados em voo	✓
Pyriglena leucoptera	papa-taoca-do-sul	Insetívoro	Florestal	Insetos, segue correições de formigas	✓
Pyrocephalus rubinus	príncipe	Insetívoro aéreo	Campestre	Insetos capturados em voo	✓
Pyroderus scutatus	pavó	Frugívoro	Florestal	Frutos do dossel florestal	✓
Pyrrhura frontalis	tiriba-de-testa-vermelha	Frugívoro/Granívoro	Florestal	Frutos, sementes, néctar	✓
Rallus longirostris	saracura-matraca	Onívoro	Aquático	Invertebrados, peixes, plantas aquáticas	✓
Ramphastos dicolorus	tucano-de-bico-verde	Frugívoro/Onívoro	Florestal	Frutos, ovos, insetos, lagartos	✓
Ramphastos toco	tucanuçu	Frugívoro/Onívoro	Florestal	Frutos, ovos, filhotes de aves, insetos	✓
Ramphastos vitellinus	tucano-de-bico-preto	Frugívoro/Onívoro	Florestal	Frutos, ovos, insetos	✓
Ramphocaenus melanurus	chirito	Insetívoro	Florestal	Insetos e aranhas	✓
Ramphocelus bresilia	tiê-sangue	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Ramphocelus carbo	pipira-vermelha	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Ramphodon naevius	beija-flor-rajado	Nectarívoro	Florestal	Néctar floral e pequenos artrópodes	✓
Ramphotrigon megacephalum	maria-cabeçuda	Insetívoro	Florestal	Insetos no sub-bosque	✓
Rauenia bonariensis	sanhaço-papa-laranja	Frugívoro/Insetívoro	Florestal	Frutos e insetos	✓
Rhea americana	ema	Onívoro	Campestre	Sementes, frutos, insetos, pequenos vertebrados	✓
Rhopias gularis	choquinha-de-garganta-pintada	Insetívoro	Florestal	Insetos e aranhas	✓
Rhopospina fruticeti	canário-andino-negro	Granívoro	Campestre	Sementes em campos	✓
Rhynchotus rufescens	perdiz	Onívoro	Campestre	Sementes, tubérculos, invertebrados	✓
Riparia riparia	andorinha-do-barranco	Insetívoro aéreo	Aquático	Insetos capturados em voo	✓
Rollandia rolland	mergulhão-de-orelha-branca	Piscívoro/Insetívoro	Aquático	Peixes, invertebrados aquáticos	✓
Rostrhamus sociabilis	gavião-caramujeiro	Malacófago	Aquático	Especialista em caramujos Pomacea	✓
Rupornis magnirostris	gavião-carijó	Carnívoro	Generalista	Lagartos, insetos, roedores, aves	✓
Rynchops niger	talha-mar	Piscívoro	Aquático	Peixes capturados rente à superfície da água	✓
Saltator fuliginosus	bico-de-pimenta	Frugívoro/Granívoro	Florestal	Frutos e sementes	✓
Saltator maxillosus	bico-grosso	Frugívoro/Granívoro	Florestal	Frutos e sementes duras	✓
Saltator similis	trinca-ferro	Frugívoro/Granívoro	Florestal	Frutos, sementes e insetos	✓
Sarcoramphus papa	urubu-rei	Detritívoro	Florestal	Carniça, especialista em localizá-la	✓
Sarkidiornis sylvicola	pato-de-crista	Onívoro	Aquático	Plantas aquáticas, grãos, invertebrados	✓
Satrapa icterophrys	suiriri-pequeno	Insetívoro	Aquático	Insetos em beiras d'água	✓
Schiffornis virescens	flautim	Insetívoro/Frugívoro	Florestal	Insetos e frutos pequenos	✓
Schistochlamys ruficapillus	bico-de-veludo	Insetívoro/Frugívoro	Campestre	Insetos e frutos em borda	✓
Schoeniophylax phryganophilus	bichoita	Insetívoro	Campestre	Insetos em arbustais	✓
Sclerurus scansor	vira-folha	Insetívoro	Florestal	Insetos na serapilheira	✓
Scytalopus iraiensis	tapaculo-da-várzea	Insetívoro	Aquático	Insetos em banhados	✓
Scytalopus pachecoi	tapaculo-ferreirinho	Insetívoro	Florestal	Insetos no chão florestal	✓
Scytalopus speluncae	tapaculo-preto	Insetívoro	Florestal	Insetos e artrópodes	✓
Selenidera maculirostris	araçari-poca	Frugívoro	Florestal	Frutos de palmeiras e figueiras	✓
Serpophaga griseicapilla	alegrinho-trinador	Insetívoro	Florestal	Insetos no sub-bosque	✓
Serpophaga nigricans	joão-pobre	Insetívoro	Aquático	Insetos em beiras de rio	✓
Serpophaga subcristata	alegrinho	Insetívoro	Generalista	Insetos em arbustos	✓
Setophaga cerulea	mariquita-azul	Insetívoro	Florestal	Insetos no dossel	✓
Setophaga pitiayumi	mariquita	Insetívoro	Florestal	Insetos no dossel	✓
Setophaga striata	mariquita-de-perna-clara	Insetívoro	Florestal	Insetos no dossel	✓
Sicalis citrina	canário-rasteiro	Granívoro	Campestre	Sementes de gramíneas	✓
